2,1,716
3,1,1594
3,2,1133
4,1,1004
4,2,1366
4,3,1679
5,1,2528
5,2,2200
5,3,3406
5,4,3541
6,1,3951
6,2,3490
6,3,2357
6,4,4036
6,5,5763
7,1,2348
7,2,2422
7,3,3543
7,4,3365
7,5,537
7,6,5985
8,1,1712
8,2,2027
8,3,2206
8,4,711
8,5,4242
8,6,4563
8,7,4066
9,1,2061
9,2,2135
9,3,3255
9,4,3231
9,5,800
9,6,5698
9,7,298
9,8,3739
10,1,439
10,2,1148
10,3,2017
10,4,822
10,5,2826
10,6,4374
10,7,2625
10,8,1553
10,9,2338
11,1,1372
11,2,1446
11,3,2566
11,4,2385
11,5,1389
11,6,5009
11,7,1131
11,8,3090
11,9,897
11,10,1678
12,1,586
12,2,1015
12,3,1614
12,4,408
12,5,3127
12,6,3971
12,7,2947
12,8,1109
12,9,2660
12,10,429
12,11,1962
